,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
5178028,St. Vincent and the Grenadines,VCT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.1799233590327503
5178798,Sudan,SDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.349548724216747
5179649,Suriname,SUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.64991336144231
5180201,Swaziland,SWZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.864988312997234
5181018,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.5184214812387005
5181782,Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.62522992397501
5182493,Syrian Arab Republic,SYR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.7369909434886
5183137,Tajikistan,TJK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.358947629748805
5184046,Tanzania,TZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.154934900364361
5184999,Thailand,THA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.53449173353441
5185956,Timor-Leste,TMP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.1636480803147469
5186521,Togo,TGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.319443621625301
5187437,Tonga,TON,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.983561958770787
5188137,Trinidad and Tobago,TTO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,37.140054240742
5188662,Tunisia,TUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.4024556390413903
5189611,Turkey,TUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.383104516251859
5190616,Turkmenistan,TKM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,12.183666583638
5191104,Turks and Caicos Islands,TCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.01014908437608
5191490,Uganda,UGA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.1108865755047049
5192469,Ukraine,UKR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.26235196177316
5193463,United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,20.4338376195602
5194000,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.085732086027781
5194727,United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,17.0202163384029
5195425,Uruguay,URY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.29620068466244
5196179,Uzbekistan,UZB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.91492126628356
5196911,Vanuatu,VUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.59126577254461
5197671,"Venezuela, RB",VEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.4163335811843005
5198435,Vietnam,VNM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.97188917349727
5199322,West Bank and Gaza,WBG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.5724068773234681
5199936,"Yemen, Rep.",YEM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.9199676170025592
5200687,Zambia,ZMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.212449644529525
5201543,Zimbabwe,ZWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.6916978965166789
